Hotel_Name,review_title,review_positive,review_negative,Reviewer_Score,date
"
Hotel
Crowne Plaza Maastricht
","
Maastricht again
","Location location location
","The reception was on duty. But not more. 
The staff in the coffee shop were very friendly and welcoming and helpful. ", 7.0 ,"
September 2020
"
"
Hotel
Crowne Plaza Maastricht
","
Good
",The excellent location, The hotel is getting old and needs some renovation. , 7.0 ,"
September 2020
"
"
Hotel
Crowne Plaza Maastricht
","
Good place from which to explore.
",Great location with parking. You can access the city very easily on foot.,Starting to look like it needs a facelift., 7.0 ,"
September 2020
"
"
Hotel
Crowne Plaza Maastricht
","
Very nice hotel in the center of Maastricht. Helpful staff and a breakfast beyond compare.
",The room was nice but noisy - found out afterwards that I had not indicated I wanted a quiet room. The breakfast offset all of that though. The staff were very helpful and attentive and despite the Covid-19 restrictions provided a memorable breakfast banquet.,External noise, 9.0 ,"
September 2020
"
"
Hotel
BEAUMONT Maastricht
","
Awesome stay
","Rooms (bed especially), perfect location",, 10 ,"
July 2019
"
"
Hotel
BEAUMONT Maastricht
","
Excellent stay
","Great restaurant and very good service from the staff. We even got an upgrade to the suite, which was the best room avaiable without even asking. ",We enjoyed our stay at this wonderful hotel with amazing staff and restaurant! We don't have any complaints., 10 ,"
October 2020
"
"
Hotel
BEAUMONT Maastricht
","
Superb
",The location in Wijck is perfect. The building is beautiful,The rooms were a little bit noisy, 9.0 ,"
September 2020
"
"
Hotel
BEAUMONT Maastricht
","
Centrally located hotel with nice atmosphere
","Location is very central, close to the central station (but not too close) and in the middle of the action (nice shops, restaurants, etc)
Very nice and helpful staff. 
Large room. Bath. ","Room is pretty pricey, but that's normal for Maastricht, a very expensive city.
Bathroom could use some TLC, i.e. a midlife refurbishing. ", 8.0 ,"
September 2020
"
"
Hotel
BEAUMONT Maastricht
","
Very good
","Bed, WiFi, airco en parkeren is top. ",De standaard kamer is klein. , 8.0 ,"
August 2020
"
"
Hotel
BEAUMONT Maastricht
","
Exceptional
",Great facility and location.  Would recommend to others.,, 10 ,"
December 2019
"
"
Hotel
BEAUMONT Maastricht
","
Excellent
",The bed was extra comfy,"Breakfast could have been inclusive, with a higher total room cost ofcourse.", 8.0 ,"
December 2019
"
"
Hotel
BEAUMONT Maastricht
","
Good
","Its pretty close to the centre of the city
","The rooms located on the street side are a bit noisy 
", 7.9 ,"
December 2019
"
"
Hotel
BEAUMONT Maastricht
","
Exceptional
",Perfect location close to the centre and in a very lively neighbourhood.,Little downside: a bit of noise from loud people late at night., 9.6 ,"
December 2019
"
"
Hotel
BEAUMONT Maastricht
","
Superb
","Location is excellent, few minutes from central station, also close to city center. Big comfortable bed.",Our room was not very spacious and cheap toilet paper, 9.2 ,"
December 2019
"
"
Hotel
Kruisherenhotel Maastricht
","
Exceptional
","nice people nice Service very very clean. 
I love to go again. ",, 10 ,"
January 2021
"
"
Hotel
Kruisherenhotel Maastricht
","
Exceptional authentic hotel, staff were super friendly & the gentleman that escorted us to our room
",Everything!!!,, 10 ,"
November 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Absolutely enchanting, inspiring and revitalising!
","Gosh, what a gorgeous and inspiring place! The lovely and helpful staff, the gorgeous building (old monastery/church), the enticing art work and design pieces throughout the building, the (vegan) food, the valet parket, the free umbrellas, the crisp table linnen, our BEAUTIFUL APARTMENT in the Gatekeeper's Residence (with a PERFECT bed and FRESH SUPERFINE bed linnen and luxe bathroom suite), the bottles of water for the road: it just was a dream. You have surpassed my expectations. Thank you for having us! ❤",, 10 ,"
October 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Excellent
","All of the above, these people understand quality.
Service excelent
We will com3 back.",Na, 9.0 ,"
September 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Superb
",Great design and location ,, 9.0 ,"
September 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
I Did not want to leave
","Great atmosphere and service. Nice team of professionals with good energy and the nicest location of the restaurant. As i accidentally left some clothing behind the team arranged to sent it after me.
","Can’t say really, we had a great room!", 10 ,"
August 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Atmospheric, luxury city hotel with a great cocktail bar 
","This hotel still has the authentic impact, scale and atmosphere of its original construction as a church, through a sympathetic conversion to a luxury hotel. The staff are incredibly friendly and helpful and the room is comfortable.  Breakfast is excellent and served in a safe and hygienic manner with no drama (simple table service and 1.5m distancing).  ","The cost of extras (breakfast, parking) do add up a little bit on top of the original room cost.", 10 ,"
August 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Great place to stay and to eat!
","Everything! Dinner though is absolutely amazing. The food and the wine were incredible. 
The rooms are very clean, staff is helpful and the architecture of the hotel is great.  Really worth staying there!",Nothing really, 10 ,"
July 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Superb
",Beautiful historical building ,, 9.0 ,"
July 2020
"
"
Hotel
Kruisherenhotel Maastricht
","
Very good
","Service, atmosphere, food..
",Rooms are not inline with a 5 star expectations, 8.0 ,"
July 2020
"
"
Hotel
Novotel Maastricht
","
Wonderful
",Every thing about Novotel Maastricht,, 10 ,"
February 2020
"
"
Hotel
Novotel Maastricht
","
Good
",I liked that the Hotel found a way to offer breakfasts during the Covid times. and also that they offer options for dinner.,"Well, I did not like several things. 1) the room was too small and without any ""touches"". for 3 people (and a pet). 2) i personally do not like plastic forks/spoons and I believe even during Covid, hotel still could have offered proper sets. 3) in general, i would expect more from 4-star hotel, cause it was minimum of minimum sort of. 4) re being pet-friendly, it was more pet-tolerant.", 7.0 ,"
March 2021
"
"
Hotel
Novotel Maastricht
","
Very nice stay, I'd pick this hotel for another trip to Masstricht.
","room was spatial and comfortable for three (1 adulst and two kids), well prepared, staff is very  friendly. Vast parking is available at the spot with reasonabl price. Breakfast very well organised considering pandemic sitatuon.","At 2nd breakfast some portions were smaller than at 1st one (e.g. juice, youghurt), not a big deal thoguh.", 9.0 ,"
February 2021
"
"
Hotel
Novotel Maastricht
","
Good
",The room was a good size and the hotel accomedaded a babybed which was also good! The bathroom wasn’t spotless but breakfast was the worst! The rate they ask for 2 slices of bread and something to drink is over the top. Next to that we had to pay for water that is supposed to be as service in the room. Wouldn’t go there again.,, 7.0 ,"
January 2021
"
"
Hotel
Novotel Maastricht
","
Very good
","Clean
Friendly staff
Good bed
Close to a2 motorway
",Area around hotel not inspiring , 8.0 ,"
January 2021
"
"
Hotel
Novotel Maastricht
","
Superb
",nice and friendly staff;good restaurant and a lot of choice at the breakfast buffet.,a bit far from the city, 9.0 ,"
November 2020
"
"
Hotel
Novotel Maastricht
","
Very good
",Breakfast was pretty ok and dinner was also very acceptable.,, 8.0 ,"
October 2020
"
"
Hotel
Novotel Maastricht
","
Close enough to the city 
","Location, quiet room and friendly staff.  Close enough to the city for a brisk walk.",Breakfast was a bit expensive , 8.0 ,"
October 2020
"
"
Hotel
Novotel Maastricht
","
Good
","breakfast"", ""room"", and ""bed"" we liked",The carpet are old and does not smell well. The carpet must be change for a new one., 7.0 ,"
August 2020
"
"
Hotel
Novotel Maastricht
","
Nice little break at the tail end of a holiday, in a beautiful town, on our way back home.
","Friendly staff. Even though they seemed short on staff, probably due to Covid 19 restrictions, they did an excellent job of looking after us. Nice pool, well air conditioned room, quiet room and a powerful shower.",The beds seemed on a slope. At times the staff seemed  overrun I suspect due to Covid 19., 8.0 ,"
August 2020
"
"
Hotel
The Dutch Maastricht
","
Perfect as ever 🤗
","Perfect as ever. The ginormous bathtub is an absolute unit, we love it",, 10 ,"
July 2020
"
"
Hotel
The Dutch Maastricht
","
As ever a pleasure
","Perfect as ever. We are returning guests for years now, and we just love this wonderful place in the heart of Maastricht.
The style, amenities and atmosphere is exactly how we like all of it ... but above all the flamingos :)",, 10 ,"
January 2021
"
"
Hotel
The Dutch Maastricht
","
Superb
",I was pleased in general. My little bad experience was over charged of my credit card which took longer to be worked on (refund process).,No complain besides the above., 9.0 ,"
August 2020
"
"
Hotel
The Dutch Maastricht
","
We highly recommend the hotel and would love to go here again
","Great Location, We enjoyed the decorations throught the Hotel","Would not recommend the Breakfast in room, unless you are in a hurry.", 9.0 ,"
September 2020
"
"
Hotel
The Dutch Maastricht
","
Great location for weekend get away
","_Location is in the middle of the area of Wyck, great for food and shopping
_Modern facilities, clean room
_Great bed and choice of pillows
_Friendly, helpful staff",, 9.0 ,"
September 2020
"
"
Hotel
The Dutch Maastricht
","
My gem in beautiful Maastricht.
","Perfect as ever. My place to go when in Maastricht.
So glad I discovered this gem a few years ago.",All was good, 10 ,"
July 2020
"
"
Hotel
The Dutch Maastricht
","
Excellent location, and great to enjoy...
","Fun, modern, design, the honnesty Bar (base on trust), the ""hang out"" room... cosy and pleasant.",Nothing really, 9.0 ,"
July 2020
"
"
Hotel
The Dutch Maastricht
","
An incredibly fun, charming hotel.
","The decor is excellent, the rooms are very comfortable, and everything is brimming with personality - even the soap has descriptions that are witty and hilarious! The hotel was quite clean and every possible step was taken to keep things safe and in line with COVID-related safety guidelines. I was also pleasantly surprised to see that the showers are equipped with water usage trackers that show how much you are using and nudge you towards using less (without forcing you to change or being preachy). As someone who is trying to make my travel more and more sustainable this is a really nice thing to see.",Couldn't think of anything I'd recommend to improve. It's a wonderful hotel and one I hope to visit again!, 9.0 ,"
July 2020
"
"
Hotel
The Dutch Maastricht
","
Exceptional
",was perfect,not applicable, 10 ,"
July 2020
"
"
Hotel
The Dutch Maastricht
","
Very good
","Kind staff, excellent location",, 8.0 ,"
February 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Exceptional
","Pretty nice staff, very kind. The facilities are excellent!",, 10 ,"
February 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Superb
","Great location, value for money. Spacious rooms, very helpful staff and good breakfast buffet!",, 9.0 ,"
October 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Good
","Comfortable hotel in a top location.  Friendly, helpful and competent staff.  Very large rooms with comfortable beds, modern bathroom.  The lighting could be a bit more pleasant and brighter.  My room faced the small marina and was very quiet.  I consider the breakfast buffet to be improvable, simple standard. Very convenient parking nearby.","My room wasn’t cleared up on Sunday. Corona protectives were almost non-existent, like everywhere in Maastricht. Furthermore I‘ve got nothing to complain.", 7.0 ,"
September 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Perfect for dinner and drinks in city center
",Perfect location to visit city center with easy parking!,Towels were missing initially and breakfast is nothing special., 8.0 ,"
August 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Good location!
","Location, bar and bathroom where good. Pillows very soft.. ;)","We had a ground floor room, the corridor to it was a bit poor. But overall okay!", 7.0 ,"
August 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
It met my expectations
",Didn’t have breakfast,"Could be lotion, bigger bottles of water", 9.0 ,"
August 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Very good
",Clean room.,There is a lot of noise., 8.0 ,"
August 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
A good place to stay with or without family
",My only issue was the pillows in our room. Apart from that our stay was very good. Would recommend Bastion Hotel and would definetly stay there again.,My only issue was the pillows in our room. Apart from that our stay was very good. Would recommend Bastion Hotel and would definetly stay there again., 8.0 ,"
July 2020
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
Very pleasant
",Breakfast was adequate and location great. Car parking was available. Friendly staff,, 8.0 ,"
December 2019
"
"
Hotel
Bastion Hotel Maastricht Centrum
","
It is a good hotel in a great location.. love Maastricht and it's people..
",Excellent location close to market square..  Bus stops close by and within walking distance of shops etc.. some great places to eat and drink nearby.. even in December we could sit outside.. Staff in hotel were very friendly and helpful.. Relaxing atmosphere and rooms were quiet and comfortable.. Breakfast was superb..  buffet style with great choice of fresh food.. I would recommend this hotel to anyone visiting Maastricht..,The room was a bit smaller than I would have liked.. narrow and just enough space to move around.. I asked for a second pillow as I like to sit up in bed if watching TV..  beds were comfortable but not the sort of room you could 'lounge around' in..  The bathroom was excellent.. so overall I would not say I was disappointed with the room... We could not get TV to work. but did not ask about it either as we were out all day and not too bothered about it.., 8.0 ,"
December 2019
"
"
Hotel
NH Maastricht
","
Tiptop hotel
",Service was excellent. Room super clean .Friendly staff.,The room was too hot.it took awhile to cool off, 10 ,"
September 2019
"
"
Hotel
NH Maastricht
","
Superb
",Clean,"
Good", 9.0 ,"
November 2020
"
"
Hotel
NH Maastricht
","
Superb
","Location was perfect for me, staff friendly and helpful",Somebody scratched my car in the car park, 9.0 ,"
September 2020
"
"
Hotel
NH Maastricht
","
Very good
",room is clean and comfortable,"Nothing except for the fact that checking my credit card account two days later, I noticed an unknown debit of 95 EUR. I checked with the hotel and apparently it's a meal at the restaurant wrongly booked on my room. Although I had settled my bill the day before.
The hotel should find a way to avoid that kind of mistakes, which could have gone unnoticed.", 8.0 ,"
September 2020
"
"
Hotel
NH Maastricht
","
Good
",In the refrigerator no water nothing Eampty! For 4 star hotel this is very bad. The breakfast was not really tasty. There was variety enough but still I went out not really happy :(,Not as clean as It should be. I really like to use the bathtub but this time I had to clean it Myself first , 7.0 ,"
September 2020
"
"
Hotel
NH Maastricht
","
Good
",breakfast and room,location, 7.0 ,"
August 2020
"
"
Hotel
NH Maastricht
","
Very good
",Almost everything good,"WiFi connection was weak in the room, had to go downstairs to the lobby several times ", 8.0 ,"
August 2020
"
"
Hotel
NH Maastricht
","
Nice getaway
",The property is nice and clean and the staff is friendly and helpful. ,The breakfast spread is not good and it becomes boring. , 7.0 ,"
August 2020
"
"
Hotel
NH Maastricht
","
Pleasant stay
","Very clean and spacious room, extra comfortable bed, buffet breakfast with a lot of choice, nice staff as well. Great value for money! ",Not an animated area during summer since it's on the MECC campus. A bit standard looking/outdated. Lack a bit of fancy and sophistication for a 4 star hotel, 8.0 ,"
August 2020
"
"
Hotel
NH Maastricht
","
Very good
",Very good breakfast! Bike rental in the hous. Big rooms! Ice cube machine (for free) in the hallway.,, 8.0 ,"
August 2020
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
just great! we enjoyed our staying
",excellent hotel!!! great stuff!! highly recommend,, 10 ,"
June 2019
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Staff were marvellous. 
",Comfy beds clean and great room service. ,All was fabulous. , 10 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Exceptional
","I liked everything in that hotel, room service, the viewi, the space ",, 10 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Exceptional
","Very central and close to all amenities, but I would like to make a special mention for the guy at reception. He was world class, a credit to himself and the hotel brand, nothing was a bother and he made our stay in difficult times a pleasure ",, 9.6 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Superb!
","Absolutely everything! The staff couldn't do enough, the rooms were luxurious and comfortable. Very beautiful hotel.",Absolutely nothing , 10 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Very good
",Clean comfortable good service  great nights sleep 💤,"Not good reception on TV
Room a little tired", 8.0 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Exceptional
",Lovely room good view ,Nothing , 10 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Superb
",Staff were great.,Draft coming from the outside made some scary noises in the middle if the night., 9.0 ,"
February 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Exceptional
",Staff very helpful,, 10 ,"
January 2021
"
"
Hotel
The Edwardian Manchester, A Radisson Collection Hotel
","
Exceptional
",Despite COViD restrictions. Hotel couldn’t do enough for us. Fabulous.,, 10 ,"
January 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
The place is amazing for what it’s worth, clean and comfortable with a well equipped kitchen. The staffs are so friendly
","Comfortable beds, equipped kitchen, clean toilets, laundry and a very convenient location right in front of the station",, 10 ,"
January 2020
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Exceptional
",Staff friendly. Rooms very clean and comfortable. Good location.,, 10 ,"
March 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Exceptional
",Clean and tidy.,No Netflix and not smart TV., 10 ,"
March 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Exceptional
","Great apartment with everything you need. Good location, nice staff. Very reasonable price (maybe because of lockdown). Will be looking to book again for a night out in Manchester once lockdown ends!",, 10 ,"
March 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Much more than a hotel!
","Having extra space to relax in, and the addition of a kitchen is what prompted me to book. Excellent facilities made my stay much more comfortable. ",I would have liked to see a few more tea and coffee sachets. If you are travelling for work you don't want to have to buy a box of tea just for a night or two. I would even pay a little extra for this convenience. , 9.0 ,"
February 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Staycity is a great brand - knew Liverpool & now Manchester & first time away in a year was a treat!
","Perfect location for my son to walk to his security training course & for me to deliver remote teaching from the apartment.
All the staff were friendly & helpful & having booked one room to keep to our budget we were thrilled to have 2 and 2 bathrooms which made a huge difference for us. 
Perfect self catering facilities & the Covid-safe cleanliness was reassuring.",Unfortunately the Wifi froze regularly which affected some of my teaching delivery but I think this is acceptable because I would imagine due to Covid there many residents using the WiFi simultaneously., 9.0 ,"
February 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Very clean but could work out expensive for parking if working long term
",Location great & very clean,Parking a tad expensive, 10 ,"
February 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
A spacious and well equipped apartment.
",The spacious well equipped apartment had everything I needed for my work visit. I felt safe staying here during lockdown thanks to the comprehensive rules that were put in place by the hotel.,, 10 ,"
February 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Excellent location and wonderful staff!
","Excellent location. Wonderful service from all of the staff members, including Daniel and Louise.",, 10 ,"
February 2021
"
"
Aparthotel
Staycity Aparthotels Manchester Piccadilly
","
Very good
",Clean near train station ,Not clean daily , 8.0 ,"
January 2021
"
"
Hotel
King Street Townhouse
","
It exceeded my expectations
",The staff was excellent. Room was very beautiful and comfortable. Shower was amazing. The whole atmosphere was so warm and cozy.,, 10 ,"
April 2019
"
"
Hotel
King Street Townhouse
","
Exceptional
","Lovely hotel, stayed for our anniversary and found everything wonderful. Comfortable bed, we loved the spa, everything felt very covid safe. Knowledgeable friendly staff ",, 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
A great place to spend a weekend away!
","Beautiful decor and ambiance. The room was fabulous, noting all the little extras you get for paying slightly more (eg Sky TV, Nespresso, bath robes etc). Clean and bright with the most comfortable bed. Visited during covid times so we had the pool to ourselves, which was great, the view and whole spa area was lovely (heated flooring!!!). Would 100% come back. ",, 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
Exceptional
","Gorgeous atmosphere, gorgeous staff and beautiful room",, 10 ,"
November 2020
"
"
Hotel
King Street Townhouse
","
Exceptional
","I loved how good the staff were to me and my partner, the roof top pool and the views were incredible and it was the comfiest bed I’ve ever stayed in ! ",I loved it all ! , 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
Lauren Latimer 
",Amazing ,X, 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
Boutique stay 
","Great location in town, lovely touches in the building, fab spa pool and meal! ",Distance to a car park , 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
Would really recommend 
",We stayed here for 1 night our room was very clean bath was beautiful and the staff were very attentive went above and beyond for us the pool was incredible I really rate staying here definitely worth the money ,, 10 ,"
October 2020
"
"
Hotel
King Street Townhouse
","
Great Hotel we really enjoyed our stay!
","We loved the hotel, the food was great and so was our room.  We loved the pool at the top - but sadly it was really cold so we couldn't stay in there for long - as it was too cold to be pleasant. We would return again if the pool became heated.","The pool was very cold - so it spoilt it to be honest, but the view was lovely.", 9.0 ,"
November 2020
"
"
Hotel
King Street Townhouse
","
Fantastic!
","The staff were very polite and professional.
The room was very spacious and comfortable with attention to detail.",, 9.0 ,"
November 2020
"
"
Hotel
The Midland
","
Exceptional
","Everything from how they dealt dealt with me before I arrived until the day I left, was brilliant. I had booked an early booking because my flight was arriving at 7 AM however my flight was delayed by five hours when I got there they removed the pre-booking fee and upgraded me, they let me have a late check out the staff are truly wonderful in this place I stay here often.
",Location , 10 ,"
February 2020
"
"
Hotel
The Midland
","
Work stay
",Helpful staff as always! Room service on and good!,Nothing! Always enjoy my stay!, 10 ,"
December 2020
"
"
Hotel
The Midland
","
Stay
",Always clean and tidy. Front desk staff very helpful,Always clean and tidy. Front desk staff very helpful, 10 ,"
February 2021
"
"
Hotel
The Midland
","
Remarkable hotel interior. We had the opportunity to takke our wedding picture at the hotel lobby/fo
","Room was comfortable and well lit with natural light from two large windows. Sufficient storage and shelves. Good sized room. Dressing table and sitting area.
Staff were so helpful, friendly and very polite. They were professional and went out of their way to ensure we enjoyed our stay.",We understand the COVID-19 measures but we have loved cooked breakfast for the money we paid. We were disappointed to receive those pre packed pack out the front door on my wedding day. McDonald's delivery to the rescue., 9.0 ,"
February 2021
"
"
Hotel
The Midland
","
Lock down, essential travel, a port in a storm 
","In Manchester for a family funeral, all of the City in lock down, the staff at the Midland were fabulous. So friendly and helpful, thank you all for making me feel at home during a tricky time.",Perfect., 10 ,"
February 2021
"
"
Hotel
The Midland
","
Exceptional
","Very clean, rooms are fresh and modern, covid-secured, friendly staff",None, 10 ,"
January 2021
"
"
Hotel
The Midland
","
Besides the bedding it was value for money
","Wonderful room with an amazing view, would come back again",If the bedding was changed, 9.0 ,"
December 2020
"
"
Hotel
The Midland
","
Exceptional
",upgraded.relaxing stay. accomodating,covid :(, 10 ,"
December 2020
"
"
Hotel
The Midland
","
Perfect stay
",The staff were extremely helpful and polite. Hotel room was very clean and tidy. ,, 10 ,"
January 2021
"
"
Hotel
The Midland
","
Good
","Room was large, bathroom very nice, staff friendly and helpful. Hotel lobby is beautiful and location perfect for exploring Manchester centre.","Room was noisy, bed uncomfortable.", 7.0 ,"
December 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
Exceptional
","Everything, I really recommend it. Nice staff, comfortable rooms, and quit.
Thanks.",, 10 ,"
November 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
i loved my stay there.
",the rooms were very good,there was no food served, 10 ,"
March 2021
"
"
Hotel
Jurys Inn Manchester City Centre
","
Exceptional
","Lovely decor, comfy room, great staff",, 10 ,"
February 2021
"
"
Hotel
Jurys Inn Manchester City Centre
","
Good value City Central Hotel by Jurys Inn
","I have stayed here a lot for work in lockdown, excellent value, spotlessly clean, and well organised",Nothing I can think of, 10 ,"
November 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
Jurys Inn in Manchester is a good quality and good value hotel
","I have stayed here many times with work, very quiet during lockdown as you would expect. Good city centre location everything met my expectations",Nothing, 10 ,"
November 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
Room was comfortable
","Good value for money 
Clean 
Friendly reception","Parking area very rough 
Would not come to stay if parking in same area", 8.0 ,"
January 2021
"
"
Hotel
Jurys Inn Manchester City Centre
","
The best value of money. 
",Everything were above the expectation.,Non, 10 ,"
February 2021
"
"
Hotel
Jurys Inn Manchester City Centre
","
Great staying!
",On arrival we had been updated on COVID approaches that were being taken at hotel and mainly regarding to the spa and they really showed that they care for the guests.,, 10 ,"
December 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
Break 
",Beautiful place and great staff❤️,, 10 ,"
December 2020
"
"
Hotel
Jurys Inn Manchester City Centre
","
Xmas break 
",It’s a Cozy place. Home away from home ❤️,N/A, 10 ,"
January 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Love
",It’s near the city so what’s not to love. The room is a bit small for 3 of us but i think it will be better for 2 people. But i love the location and I am going to stay here if i visit Manchester again. ,, 10 ,"
December 2019
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Very good
",Excellent staff and comfortable bed ,Only thing was I would have liked the room a bit  warmer but otherwise great , 8.0 ,"
March 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Superb
",Location,, 9.0 ,"
March 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Very good staff
",Location,Clean, 9.0 ,"
February 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Good location, excellent price and staff were great nothing was too much trouble
",Didn’t know you got a bacon/sausage nutty,Beds for me were a bit springy, 8.0 ,"
March 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Very good
","Locaton is prefect, right in the middle of city centre.
We had a problem whith our room toilet, and the staff inmediately change the room for us very nicely.
Due covid, breakfast has to be in the room, but it was okay too.",, 8.0 ,"
February 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
nice and pleasant
","City centre location, appropriate for my interests.
Very nice room and view, comfortable beds and good facilities.
Rich, tasty, fresh and diverse breakfast adapted for being grabbed and eaten in the room.","Although large and beautiful, the windows could not be open and ventilation was difficult only by AC.
Also, it was much condensation, which retains moisture.", 9.0 ,"
January 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
pleasant and attractive
","Excellent location, in the city centre.
Spacious room, nice furniture, nice view, nice bathroom, well organised, good facilities.
Very good breakfast, take&go-adapted for the pandemic restrictions, but diverse and fresh-made, also packed appropriately.","The AC was very noisy and we had asked to change the room, but the next room was quieter and also cooler...
This was solved a few days later when we got a radiator.", 9.0 ,"
December 2020
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Helpful staff and great location
","Friendly helpful staff , space in room and location
The reception can receive online orders .Also available quick wifi inside the hotel without passwords","The keys stopped working several times , weak wifi and weak mobile network inside the rooms .", 7.0 ,"
January 2021
"
"
Hotel
Holiday Inn Express Manchester City Centre
","
Overall a nice place to stay.
",Great location and value for money. The grab and go breakfast was also a nice touch.,, 7.0 ,"
January 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Exceptional
","Always a pleasure to stay here. Staff very helpful and friendly. Arrived very early this time but was still able to check in. Breakfast is excellent, rooms clean and spacious, located just across the bridge from Victoria Station. Excellent value in every way. ",, 10 ,"
November 2018
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Great value 
",Clean and very helpful staff. ,, 9.0 ,"
March 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Nice hotel, good location, helpful staff and Covid safe.
",Nice room & decor,Water pressure was a little low in the shower in the morning, 9.0 ,"
March 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Very good
",Amazing staff that made me feel comfortable and assist me for my work trip. Thank you ,, 8.0 ,"
February 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Good stay
",No serving breakfast at d moment cos of Covid procedure,Nothing, 8.0 ,"
February 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Very good
",Clean,Was in self isolation , 8.0 ,"
February 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Very good
","Very clean hotel , the staff being polite and good",The twins bed need to be change  not good for customernice stay, 8.0 ,"
February 2021
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Beautiful hotel
",Very clean and good hotel,, 9.0 ,"
December 2020
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Very good
",Room size,, 8.0 ,"
October 2020
"
"
Hotel
Park Inn by Radisson Manchester City Centre
","
Very good
","Very friendly staff, good location ",, 8.0 ,"
December 2020
"
"
Hotel
Dakota Manchester
","
Highly recommend
",The location and the interior and the partnership with puregym.,That I couldn’t go to the gym one day, 10 ,"
August 2019
"
"
Hotel
Dakota Manchester
","
Exceptional
",Fantastic hotel and service ,Nothing, 10 ,"
March 2021
"
"
Hotel
Dakota Manchester
","
Exceptional
",Food was 10/10 we enjoyed our stay,, 10 ,"
February 2021
"
